RECORD_ID,RECORD_NAME,ARTICLE_NAME,PRODUCT_CODE,TAXONOMY,COLOR,SIZE,parent_id,level
OD0000$,Orphan Discobombulator,,OD0000$,200100,,,,master_model
OD0000$_202500,Orphan Discobombulator,,OD0000$,200100,,,OD0000$,season
OD0001001+_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001001+,200100,Blazing Beige,,OD0000$_202500,article
OD0001001S_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001001S,200100,Blazing Beige,S,OD0001001+_202500,sku
OD0001002+_202500,Orphan Discobombulator Existential Teal,Orphan Discobombulator Existential Teal,OD0001002+,200100,Existential Teal,,OD0000$_202500,article
OD0001002S_202500,Orphan Discobombulator Existential Teal,Orphan Discobombulator Existential Teal,OD0001002S  ,200100,Existential Teal,S,OD0001002+_202500,sku
OD0001002XL_202500,Orphan Discobombulator Existential Teal,Orphan Discobombulator Existential Teal,OD0001002XL,200100,Existential Teal,XL,OD0001002+_202500,sku
OD0001003+_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001003+,200100,Blazing Beige,,OD0000$_202500,article
OD0001003XS_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001003XS,200100,Blazing Beige,XS,OD0001003+_202500,sku
OD0001003S_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001003S,200100,Blazing Beige,S,OD0001003+_202500,sku
OD0001003OneSize_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001003OneSize,200100,Blazing Beige,OneSize,OD0001003+_202500,sku
OD0001003XL_202500,Orphan Discobombulator Blazing Beige,Orphan Discobombulator Blazing Beige,OD0001003XL,200100,Blazing Beige,XL,OD0001003+_202500,sku
OD0001004+_202500,Orphan Discobombulator Panic Pink,Orphan Discobombulator Panic Pink,OD0001004+,200100,Panic Pink,,OD0000$_202500,article
OD0001004L_202500,Orphan Discobombulator Panic Pink,Orphan Discobombulator Panic Pink,OD0001004L,200100,Panic Pink,L,OD0001004+_202500,sku
OD0001005+_202500,Orphan Discobombulator Ümlaut Grün,Orphan Discobombulator Ümlaut Grün,OD0001005+,200100,Ümlaut Grün,,OD0000$_202500,article
OD000100542_202500,Orphan Discobombulator Ümlaut Grün,Orphan Discobombulator Ümlaut Grün,OD000100542,200100,Ümlaut Grün,42,OD0001005+_202500,sku
OD0001005L_202500,Orphan Discobombulator Ümlaut Grün,Orphan Discobombulator Ümlaut Grün,OD0001005L,200100,Ümlaut Grün,L,OD0001005+_202500,sku
OD0001005XL_202500,Orphan Discobombulator Ümlaut Grün,Orphan Discobombulator Ümlaut Grün,OD0001005XL,200100,Ümlaut Grün,XL,OD0001005+_202500,sku
OD000100544_202500,Orphan Discobombulator Ümlaut Grün,Orphan Discobombulator Ümlaut Grün,OD000100544,200100,Ümlaut Grün,44,OD0001005+_202500,sku
OD0001006+_202500,Orphan Discobombulator Suspicious Orange,Orphan Discobombulator Suspicious Orange,OD0001006+,200100,Suspicious Orange,,OD0000$_202500,article
OD000100642_202500,Orphan Discobombulator Suspicious Orange,Orphan Discobombulator Suspicious Orange,OD000100642,200100,Suspicious Orange,42,OD0001006+_202500,sku
OD0001006OneSize_202500,Orphan Discobombulator Suspicious Orange,Orphan Discobombulator Suspicious Orange,OD0001006OneSize,200100,Suspicious Orange,OneSize,OD0001006+_202500,sku
OD0001006L_202500,Orphan Discobombulator Suspicious Orange,Orphan Discobombulator Suspicious Orange,OD0001006L,200100,Suspicious Orange,L,OD0001006+_202500,sku
OD0001006M_202500,Orphan Discobombulator Suspicious Orange,Orphan Discobombulator Suspicious Orange,OD0001006M,200100,Suspicious Orange,M,OD0001006+_202500,sku
OD0001007+_202500,"Orphan Discobombulator, Special, Edition Beige²","Orphan Discobombulator, Special, Edition Beige²",OD0001007+,200100,Beige²,,OD0000$_202500,article
OD0001007XS_202500,"Orphan Discobombulator, Special, Edition Beige²","Orphan Discobombulator, Special, Edition Beige²",OD0001007XS,200100,Beige²,XS,OD0001007+_202500,sku
OD000100742_202500,"Orphan Discobombulator, Special, Edition Beige²","Orphan Discobombulator, Special, Edition Beige²",OD000100742,200100,Beige²,42,OD0001007+_202500,sku
OD0001007OneSize_202500,"Orphan Discobombulator, Special, Edition Beige²","Orphan Discobombulator, Special, Edition Beige²",OD0001007OneSize,200100,Beige²,OneSize,OD0001007+_202500,sku
OD0001007XL_202500,"Orphan Discobombulator, Special, Edition Beige²","Orphan Discobombulator, Special, Edition Beige²",OD0001007XL,200100,Beige²,XL,OD0001007+_202500,sku
OD0001008+_202500,Orphan Discobombulator Beige²,Orphan Discobombulator Beige²,OD0001008+,200100,Beige²,,OD0000$_202500,article
OD0001008S_202500,Orphan Discobombulator Beige²,Orphan Discobombulator Beige²,OD0001008S,200100,Beige²,S,OD0001008+_202500,sku
BS0001$,Bender Straightener,,BS0001$,300100,,,,master_model
BS0001$_202600,Bender Straightener,,BS0001$,300100,,,BS0001$,season
BS0001009+_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001009+,300100,Mild Mauve,,BS0001$_202600,article
BS0001009OneSize_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001009OneSize,300100,Mild Mauve,OneSize,BS0001009+_202600,sku
BS0001010+_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001010+,300100,Voidwash Black,,BS0001$_202600,article
BS000101044_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS000101044,300100,Voidwash Black,44,BS0001010+_202600,sku
BS0001010OneSize_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001010OneSize,300100,Voidwash Black,OneSize,BS0001010+_202600,sku
BS0001010L_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001010L,300100,Voidwash Black,L,BS0001010+_202600,sku
BS0001010XS_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001010XS,300100,Voidwash Black,XS,BS0001010+_202600,sku
BS0001011+_202600,Bender Straightener Ümlaut Grün,Bender Straightener Ümlaut Grün,BS0001011+,300100,Ümlaut Grün,,BS0001$_202600,article
BS000101144_202600,Bender Straightener Ümlaut Grün,Bender Straightener Ümlaut Grün,BS000101144,300100,Ümlaut Grün,44,BS0001011+_202600,sku
BS0001011M_202600,Bender Straightener Ümlaut Grün,Bender Straightener Ümlaut Grün,BS0001011M,300100,Ümlaut Grün,M,BS0001011+_202600,sku
BS000101142_202600,Bender Straightener Ümlaut Grün,Bender Straightener Ümlaut Grün,BS000101142,300100,Ümlaut Grün,42,BS0001011+_202600,sku
BS0001012+_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001012+,300100,Voidwash Black,,BS0001$_202600,article
BS0001012OneSize_202600,Bender Straightener Voidwash Black,Bender Straightener Voidwash Black,BS0001012OneSize,300100,Voidwash Black,OneSize,BS0001012+_202600,sku
BS0001013+_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001013+,300100,Mild Mauve,,BS0001$_202600,article
BS0001013XS_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001013XS,300100,Mild Mauve,XS,BS0001013+_202600,sku
BS0001013L_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001013L,300100,Mild Mauve,L,BS0001013+_202600,sku
BS0001014+_202600,Bender Straightener Radioactive Sage,Bender Straightener Radioactive Sage,BS0001014+,300100,Radioactive Sage,,BS0001$_202600,article
BS0001014S_202600,Bender Straightener Radioactive Sage,Bender Straightener Radioactive Sage,BS0001014S,300100,Radioactive Sage,S,BS0001014+_202600,sku
BS0001014L_202600,Bender Straightener Radioactive Sage,Bender Straightener Radioactive Sage,BS0001014L,300100,Radioactive Sage,L,BS0001014+_202600,sku
BS000101442_202600,Bender Straightener Radioactive Sage,Bender Straightener Radioactive Sage,BS000101442,300100,Radioactive Sage,42,BS0001014+_202600,sku
BS000101444_202600,Bender Straightener Radioactive Sage,Bender Straightener Radioactive Sage,BS000101444,300100,Radioactive Sage,44,BS0001014+_202600,sku
BS0001015+_202600,Bender Straightener Existential Teal,Bender Straightener Existential Teal,BS0001015+,300100,Existential Teal,,BS0001$_202600,article
BS0001015OneSize_202600,Bender Straightener Existential Teal,Bender Straightener Existential Teal,BS0001015OneSize,300100,Existential Teal,OneSize,BS0001015+_202600,sku
BS0001015S_202600,Bender Straightener Existential Teal,Bender Straightener Existential Teal,BS0001015S,300100,Existential Teal,S,BS0001015+_202600,sku
BS0001016+_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001016+,300100,Mild Mauve,,BS0001$_202600,article
BS0001016S_202600,Bender Straightener Mild Mauve,Bender Straightener Mild Mauve,BS0001016S,300100,Mild Mauve,S,BS0001016+_202600,sku
QN0002$,Quantum Noodle Rehydrator,,QN0002$,200100,,,,master_model
QN0002$_202600,Quantum Noodle Rehydrator,,QN0002$,200100,,,QN0002$,season
QN0001017+_202600,Quantum Noodle Rehydrator Existential Teal,Quantum Noodle Rehydrator Existential Teal,QN0001017+,200100,Existential Teal,,QN0002$_202600,article
QN0001017OneSize_202600,Quantum Noodle Rehydrator Existential Teal,Quantum Noodle Rehydrator Existential Teal,QN0001017OneSize,200100,Existential Teal,OneSize,QN0001017+_202600,sku
QN0001017L_202600,Quantum Noodle Rehydrator Existential Teal,Quantum Noodle Rehydrator Existential Teal,QN0001017L,200100,Existential Teal,L,QN0001017+_202600,sku
QN000101744_202600,Quantum Noodle Rehydrator Existential Teal,Quantum Noodle Rehydrator Existential Teal,QN000101744,200100,Existential Teal,44,QN0001017+_202600,sku
QN0001017M_202600,Quantum Noodle Rehydrator Existential Teal,Quantum Noodle Rehydrator Existential Teal,QN0001017M,200100,Existential Teal,M,QN0001017+_202600,sku
QN0001018+_202600,Quantum Noodle Rehydrator Panic Pink,Quantum Noodle Rehydrator Panic Pink,QN0001018+,200100,Panic Pink,,QN0002$_202600,article
QN0001018L_202600,Quantum Noodle Rehydrator Panic Pink,Quantum Noodle Rehydrator Panic Pink,QN0001018L,200100,Panic Pink,L,QN0001018+_202600,sku
QN0001019+_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001019+,200100,Ümlaut Grün,,QN0002$_202600,article
QN0001019S_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001019S,200100,Ümlaut Grün,S,QN0001019+_202600,sku
QN000101942_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN000101942,200100,Ümlaut Grün,42,QN0001019+_202600,sku
QN0001019M_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001019M,200100,Ümlaut Grün,M,QN0001019+_202600,sku
QN0001020+_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001020+,200100,Ümlaut Grün,,QN0002$_202600,article
QN0001020L_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001020L,200100,Ümlaut Grün,L,QN0001020+_202600,sku
